acronym,n_pids,n_responsive_units,latency_ms,q25_ms,q75_ms,passes_coverage,anatomical_group
Pa5,1,2,70.0,70.0,70.0,False,Hindbrain
SOC,7,15,70.0,35.0,77.5,True,Hindbrain
SUT,10,34,72.5,60.0,112.5,True,Hindbrain
PARN,20,164,75.0,55.0,101.25,True,Hindbrain
PC5,2,7,75.0,65.0,85.0,True,Hindbrain
VCO,4,73,75.0,47.5,97.5,True,Hindbrain
DCO,12,159,75.00000000000001,35.0,91.25,True,Hindbrain
NI,5,13,75.00000000000001,20.0,95.0,True,Hindbrain
ICB,5,19,80.0,75.00000000000001,114.99999999999999,True,Hindbrain
IRN,27,307,80.0,57.5,110.0,True,Hindbrain
TRN,10,97,82.5,57.5,112.5,True,Hindbrain
P5,3,12,85.0,60.0,100.0,True,Hindbrain
ECU,2,3,87.5,76.25,98.75,False,Hindbrain
I5,4,24,90.0,42.5,125.0,True,Hindbrain
PB,24,125,90.0,58.75,105.00000000000001,True,Hindbrain
PCG,6,32,92.5,40.0,107.5,True,Hindbrain
PRNr,22,297,92.5,75.00000000000001,114.99999999999999,True,Hindbrain
CS,9,169,95.0,70.0,114.99999999999999,True,Hindbrain
LRN,3,8,95.0,80.0,115.0,True,Hindbrain
MV,19,289,95.0,60.0,117.5,True,Hindbrain
NTS,17,49,95.0,75.0,114.99999999999999,True,Hindbrain
VII,5,22,95.0,95.0,125.0,True,Hindbrain
PSV,7,48,99.99999999999999,92.5,127.5,True,Hindbrain
PGRN,10,58,102.5,95.0,110.0,True,Hindbrain
MARN,4,54,105.0,93.75,119.99999999999999,True,Hindbrain
x,4,10,105.0,95.0,117.49999999999999,True,Hindbrain
GRN,15,321,105.00000000000001,84.99999999999999,120.0,True,Hindbrain
SPVI,11,95,105.00000000000001,65.0,117.5,True,Hindbrain
SPVO,8,49,105.00000000000001,101.25000000000001,125.0,True,Hindbrain
SUV,12,109,107.5,72.50000000000001,125.0,True,Hindbrain
AMB,2,2,110.0,102.5,117.5,False,Hindbrain
GR,1,2,110.0,110.0,110.0,False,Hindbrain
PRP,4,13,110.0,102.50000000000001,114.99999999999999,True,Hindbrain
y,1,2,110.0,110.0,110.0,False,Hindbrain
LDT,2,20,112.5,111.25,113.74999999999999,True,Hindbrain
CU,3,5,114.99999999999999,99.99999999999999,120.0,True,Hindbrain
SPIV,16,121,114.99999999999999,93.75,125.0,True,Hindbrain
SPVC,4,13,115.0,102.50000000000001,125.0,True,Hindbrain
V,8,45,115.0,93.75,127.5,True,Hindbrain
PG,1,2,120.0,120.0,120.0,False,Hindbrain
LAV,10,68,122.5,90.0,128.75,True,Hindbrain
MDRN,8,28,122.5,95.00000000000001,125.0,True,Hindbrain
IO,1,1,125.0,125.0,125.0,False,Hindbrain
XII,1,5,125.0,125.0,125.0,False,Hindbrain
LIN,1,2,130.0,130.0,130.0,False,Hindbrain
DMX,1,1,135.0,135.0,135.0,False,Hindbrain
ANcr2,16,232,65.0,55.0,85.0,True,Cerebellum
CENT3,23,246,75.00000000000001,25.0,110.0,True,Cerebellum
DN,9,115,75.00000000000001,60.0,95.0,True,Cerebellum
SIM,20,389,75.00000000000001,65.0,111.25,True,Cerebellum
FL,3,19,80.0,77.5,82.5,True,Cerebellum
ANcr1,9,202,84.99999999999999,65.0,110.0,True,Cerebellum
CUL4 5,28,486,87.5,45.0,107.5,True,Cerebellum
PRM,16,189,87.5,73.75,111.25,True,Cerebellum
LING,4,15,92.5,78.75,107.5,True,Cerebellum
NOD,8,69,95.0,78.75,125.0,True,Cerebellum
IP,25,305,100.0,65.0,120.0,True,Cerebellum
CENT2,13,202,105.00000000000001,55.0,125.0,True,Cerebellum
DEC,5,81,105.00000000000001,84.99999999999999,114.99999999999999,True,Cerebellum
COPY,12,123,110.0,70.0,117.49999999999999,True,Cerebellum
PYR,4,64,112.5,105.00000000000001,121.25,True,Cerebellum
UVU,6,60,112.5,98.75,122.5,True,Cerebellum
FN,3,35,114.99999999999999,110.0,125.0,True,Cerebellum
FOTU,5,41,114.99999999999999,114.99999999999999,125.0,True,Cerebellum
VeCB,5,34,114.99999999999999,100.0,114.99999999999999,True,Cerebellum
PFL,6,68,117.5,107.5,123.75,True,Cerebellum
