uuids,acronym,pid,q_value,effect_hz,latency_ms,eid,subject,lab
38dc0484-5829-4ae6-b668-af9dba5022ca,PAG,81b1800e-f138-4337-abc9-bb0449b77852,5.324649673347271e-166,14.93725868725869,105.00000000000001,993c7024-0abc-4028-ad30-d397ad55b084,CSH_ZAD_029,zadorlab
30459136-d0aa-4a4b-8e3d-b77356c708f9,MOp,79b2e46e-e2ee-446e-b875-9aff03ef52d2,1.4237966192778078e-165,59.37405731523379,55.0,626126d5-eecf-4e9b-900e-ec29a17ece07,CSH_ZAD_026,zadorlab
e5f3b46f-d5b7-46bf-abdc-ab023ca3b1b5,RT,3e7618b8-34ca-4e48-ba3a-0e0f88a43131,4.429518051698062e-164,44.162062615101284,15.0,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,SWC_054,mrsicflogellab
82cbe0fe-3fe3-4b31-bd04-7c29742aa3a4,CP,675952a4-e8b3-4e82-a179-cc970d5a8b01,5.591394551111951e-164,10.0,65.0,c7bd79c9-c47e-4ea5-aea3-74dda991b48e,CSH_ZAD_029,zadorlab
77ef77de-13cc-4a65-8361-01122ae37b54,RT,f7c93877-ec05-4091-a003-e69fae0f2fa8,1.5460223986877976e-163,21.796322489391798,105.00000000000001,fece187f-b47f-4870-a1d6-619afe942a7d,CSH_ZAD_029,zadorlab
6c375731-8865-44c7-bac2-952c2febb0b4,MRN,e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,6.15687360734404e-163,25.720064724919098,75.00000000000001,6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,PL050,hausserlab
7b6f2644-cc4d-4505-97bd-1ec3fa8aeca1,MV,1c4e2ebd-59da-4527-9700-b4b2dad6dfb2,1.0028203414761232e-162,31.799140708915143,55.0,1b9e349e-93f2-41cc-a4b5-b212d7ddc8df,KS096,cortexlab
1c7ada59-916e-457e-95fa-96d184fee0bb,SPA,d8dae4d0-e11d-4b4d-8bd9-103c13491eb7,6.6894298238218105e-162,8.811188811188813,75.00000000000001,c557324b-b95d-414c-888f-6ee1329a2329,CSH_ZAD_025,zadorlab
6a4d430f-1b63-46cb-a698-3626706167a9,IC,2cbb5bc7-edbd-431e-a931-21e466d20dec,1.0744616404018705e-161,33.38919925512104,105.00000000000001,1b61b7f2-a599-4e40-abd6-3e758d2c9e25,PL017,hausserlab
1aade9ae-f996-46e0-8f07-8934419fb8c0,MRN,e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,1.0744616404018705e-161,40.50161812297735,105.00000000000001,6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,PL050,hausserlab
86930bc5-8f88-481a-96d7-e855d19cdb71,SCm,dac5defe-62b8-4cc0-96cb-b9f923957c7f,1.6239151389435606e-161,29.86322188449848,95.0,eacc49a9-f3a1-49f1-b87f-0972f90ee837,NR_0020,steinmetzlab
b24d5654-5611-41a7-bc7b-a2a0af6b01e2,AId,eb7e9f3f-b79d-4cdd-bc24-b13a4008c1b5,1.7401172652703395e-161,41.170731707317074,95.0,0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde,NR_0027,steinmetzlab
2e04dcc4-18b5-4c2e-972a-aa6298c615c6,LHA,3220377b-f53e-412d-a859-ef8ccb8f0a40,4.540629117669951e-161,21.739457831325296,95.0,90e74228-fd1a-482f-bd56-05dbad132861,CSH_ZAD_022,zadorlab
f60c52ec-5180-4117-ba13-bceb0098c7ca,PRNc,5d570bf6-a4c6-4bf1-a14b-2c878c84ef0e,2.7050298840416747e-160,5.406647807637906,84.99999999999999,fece187f-b47f-4870-a1d6-619afe942a7d,CSH_ZAD_029,zadorlab
dc42b777-7854-47ad-bf9f-d9f51e60dd29,PRNr,3c9c3757-32dd-40cf-83ec-5e21731ce9c5,3.237415896335647e-159,41.88118811881188,95.0,cea755db-4eee-4138-bdd6-fc23a572f5a1,PL017,hausserlab
6dd4f9e1-56dd-413b-9895-351fc24a4821,IRN,5d570bf6-a4c6-4bf1-a14b-2c878c84ef0e,7.700849751241719e-159,10.898161244695899,125.0,fece187f-b47f-4870-a1d6-619afe942a7d,CSH_ZAD_029,zadorlab
a9258867-d640-4b30-9914-e0a1d72bc196,ACAd,298e2a70-9801-45f0-b91c-d6bb9718427e,3.5489449382021924e-158,42.47838616714697,95.0,5ec72172-3901-4771-8777-6e9490ca51fc,NYU-30,angelakilab
9ab6bded-8f4a-4f1a-8a91-2530567ca9ad,MRN,e42e948c-3154-45cb-bf52-408b7cda0f2f,1.5862321858464387e-157,40.46793760831889,95.0,d57df551-6dcb-4242-9c72-b806cff5613a,UCLA005,churchlandlab_ucla
574f8ede-c09c-4eab-98da-94ff4879c093,CUL4 5,1c4e2ebd-59da-4527-9700-b4b2dad6dfb2,1.3270923643842587e-155,34.232008592910844,15.0,1b9e349e-93f2-41cc-a4b5-b212d7ddc8df,KS096,cortexlab
abc37d3a-993c-4916-809a-ec50650b0901,RSPagl,38124fca-a0ac-4b58-8e8b-84a2357850e6,1.9420355121400018e-155,20.9375,114.99999999999999,510b1a50-825d-44ce-86f6-9678f5396e02,ZM_2240,mainenlab
2d8aa27b-f334-4a3b-b483-6f633bff9715,SIM,1c4e2ebd-59da-4527-9700-b4b2dad6dfb2,4.7098247357008545e-155,53.01288936627283,95.0,1b9e349e-93f2-41cc-a4b5-b212d7ddc8df,KS096,cortexlab
3166e04f-1fab-43f9-a9d1-2a846e01a907,PRNc,5d570bf6-a4c6-4bf1-a14b-2c878c84ef0e,1.1327545958624256e-154,4.879773691654879,95.0,fece187f-b47f-4870-a1d6-619afe942a7d,CSH_ZAD_029,zadorlab
aabeef96-d75a-4311-98a6-be2b0c6c360f,AIv,eb7e9f3f-b79d-4cdd-bc24-b13a4008c1b5,1.6180272790455362e-154,26.585365853658537,105.00000000000001,0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde,NR_0027,steinmetzlab
79abec89-fde0-45d3-b2ce-b534f3930b29,PL,298e2a70-9801-45f0-b91c-d6bb9718427e,2.7625768598721884e-154,25.79971181556196,105.00000000000001,5ec72172-3901-4771-8777-6e9490ca51fc,NYU-30,angelakilab
c6580009-259e-4f95-81e6-952d2decfd4c,GRN,2e720cee-05cc-440e-a24b-13794b1ac01d,1.1432397330926941e-153,41.55470249520154,65.0,32d27583-56aa-4510-bc03-669036edad20,UCLA033,churchlandlab_ucla
5306f5ad-5d9e-4a3e-90df-83db0f542aba,SCm,a6bcfe32-69ce-414f-80bc-495d1b4906af,1.546252309860473e-153,30.131118881118883,114.99999999999999,68775ca0-b056-48d5-b6ae-a4c2a76ae48f,PL017,hausserlab
1a888359-a1be-4f22-8e2b-e7abb84e7482,PRNr,3c9c3757-32dd-40cf-83ec-5e21731ce9c5,3.4379074670537215e-153,36.52640264026402,95.0,cea755db-4eee-4138-bdd6-fc23a572f5a1,PL017,hausserlab
7530d282-047e-4e7f-923e-3c835dcd8af1,PF,3220377b-f53e-412d-a859-ef8ccb8f0a40,9.705482354790363e-153,23.975903614457827,84.99999999999999,90e74228-fd1a-482f-bd56-05dbad132861,CSH_ZAD_022,zadorlab
990d6792-8e2a-4e63-a31e-5815cb6dc456,CA1,91fb4ed3-ee27-4d7e-ba5d-f61202ed9884,1.8523454811878687e-152,8.241252302025783,15.0,1ec23a70-b94b-4e9c-a0df-8c2151da3761,CSH_ZAD_029,zadorlab
45a63833-6ce1-4917-bb1d-07e57cee501b,PAG,c250d4f4-7516-4cf1-a8bd-04873ca9e21c,2.407125030917387e-152,16.578411405295316,65.0,9eec761e-9762-4897-b308-a3a08c311e69,DY_020,danlab
28cccfa6-757a-48be-95ce-e14269ed722c,MV,2e720cee-05cc-440e-a24b-13794b1ac01d,4.847981955238363e-152,47.063339731285986,75.00000000000001,32d27583-56aa-4510-bc03-669036edad20,UCLA033,churchlandlab_ucla
20188d83-cb4b-4aa6-a416-c06a27dab0f2,MOs,5011eba9-8926-4a73-b729-579d02676d25,6.789052530951642e-152,6.087912087912088,55.0,81a78eac-9d36-4f90-a73a-7eb3ad7f770b,CSH_ZAD_026,zadorlab
