acronym,anatomical_group,n_pids,n_sessions,n_sessions_ge5,n_units,amplitude_hz,latency_ms,latency_gated_ms,trial_ci_low_ms,trial_ci_high_ms,trial_bootstrap_valid,p_value,passes_coverage,q_value,significant,latency_ci_low_ms,latency_ci_high_ms,bootstrap_valid
MDRN,Hindbrain,8,7,6,180,3.5771845105837095,124.0,124.0,,,0,0.001998001998001998,True,0.010502318194625887,False,84.0,128.0,1000
MV,Hindbrain,22,22,20,672,4.895202421515641,124.0,,,,0,0.04695304695304695,True,0.1023976023976024,False,122.0,130.0,1000
LAV,Hindbrain,11,11,9,169,6.09108025143964,126.0,,,,0,0.08591408591408592,True,0.15867015867015868,False,97.90000000000009,134.0,1000
NTS,Hindbrain,20,20,12,124,4.03419897426914,128.0,,,,0,0.057942057942057944,True,0.11878121878121878,False,106.0,136.0,1000
PAS,Hindbrain,1,1,0,1,1.302083368937174,128.0,,,,0,0.3356643356643357,False,,False,,,0
PSV,Hindbrain,8,7,5,115,5.877869600330034,128.0,,,,0,0.061938061938061936,True,0.12448335977747742,False,98.3500000000015,132.0,1000
SPIV,Hindbrain,18,17,15,327,6.235902339318938,128.0,128.0,,,0,0.000999000999000999,True,0.005688755688755689,True,125.95000000000005,134.0,1000
PDTg,Hindbrain,2,2,1,12,8.543468615304256,130.0,130.0,,,0,0.000999000999000999,False,,False,10.0,130.0,1000
XII,Hindbrain,2,2,1,12,2.134446830616489,132.0,,,,0,0.8331668331668332,False,,False,4.0,132.0,1000
PARN,Hindbrain,21,21,16,423,4.188350286262342,136.0,,122.0,138.0,300,0.18181818181818182,True,0.28893587033121915,False,108.0,138.0,1000
LIN,Hindbrain,1,1,1,11,4.908727135700261,140.0,,,,0,0.1888111888111888,False,,False,,,0
PB,Hindbrain,28,27,19,306,2.454373467369703,140.0,,,,0,0.24975024975024976,True,0.36570572284858,False,22.0,140.0,1000
SPVC,Hindbrain,5,5,3,42,2.5854961381122328,142.00000000000003,,,,0,0.4565434565434565,True,0.5638036662133047,False,54.0,142.00000000000003,1000
HATA,Hippocampal formation,6,6,5,59,2.5872454509973526,4.0,,,,0,0.9110889110889111,True,0.943299125117307,False,4.0,86.0,1000
IG,Hippocampal formation,3,3,0,9,2.259117194209294,12.0,,,,0,0.5604395604395604,False,,False,4.0,72.00000000000001,1000
ProS,Hippocampal formation,22,22,17,378,1.493184801548598,32.0,,,,0,0.5174825174825175,True,0.6240230357877418,False,20.0,124.0,1000
PRE,Hippocampal formation,7,7,4,115,2.9842280037692723,100.0,,,,0,0.06393606393606394,True,0.12602781833551063,False,96.0,138.0,1000
CA3,Hippocampal formation,79,75,47,950,1.8448070669812897,108.0,124.0,,,0,0.1028971028971029,True,0.1866717353443017,False,46.0,124.0,1000
PAR,Hippocampal formation,9,9,7,117,6.172516787010606,108.0,,,,0,0.26973026973026976,True,0.38667626080213496,False,64.0,114.0,1000
APr,Hippocampal formation,5,5,2,16,3.958589547929386,110.0,,,,0,0.5734265734265734,False,,False,4.0,114.04999999999995,1000
ENTl,Hippocampal formation,20,19,16,585,1.1333518601341601,110.0,110.0,,,0,0.15984015984015984,True,0.2654145854145854,False,6.0,116.0,1000
CA2,Hippocampal formation,18,18,2,39,2.9489475792253774,114.0,,,,0,0.8221778221778222,True,0.8764810319214466,False,40.0,130.0,1000
SUB,Hippocampal formation,37,34,26,914,1.1686955552504736,122.0,122.0,,,0,0.06693306693306693,True,0.12944602567244076,False,42.0,136.0,1000
POST,Hippocampal formation,19,18,15,233,4.715797797014453,124.0,146.0,,,0,0.03896103896103896,True,0.0897417189552021,False,98.0,138.0,1000
ENTm,Hippocampal formation,16,15,12,639,1.7038066398293288,126.0,,,,0,0.1958041958041958,True,0.30180345969819655,False,18.000000000000004,130.0,1000
DG,Hippocampal formation,134,118,68,1137,1.2581706031502398,128.0,,,,0,0.029970029970029972,True,0.0767982017982018,False,112.0,138.0,1000
FC,Hippocampal formation,4,4,2,23,4.402992188208188,130.0,,,,0,0.14885114885114886,True,0.2542873792873793,False,112.0,140.0,1000
CA1,Hippocampal formation,154,133,94,1807,1.3405702491977252,132.0,132.0,,,0,0.000999000999000999,True,0.005688755688755689,True,73.95000000000005,140.0,1000
